company_url;company_name;company_short_description;company_habs_name;company_raiting;company_blog_posts;company_news;company_vacancies;company_subscribers;company_employees;company_foundation_date;company_location;company_city;company_country;company_site_name;company_site_url;company_size;company_registration_date;company_represenative_nickname;company_represenative_profile_url
https://habr.com/ru/company/mkb/;Московский кредитный банк;Компания;Java, Разработка под iOS, NoSQL, Разработка под Linux, Микросервисы;30.17;12;1;;34;9;5 августа 1992 г.;Москва, Россия;Москва;Россия;mkb.ru;https://mkb.ru/;5 001–10 000 человек;10.09.2019;;
https://habr.com/ru/company/getcourse/;GetCourse;Платформа для создания онлайн-школ;Разработка веб-сайтов, Программирование, Управление проектами, Управление продуктом, Научно-популярное;30;3;;;7;2;23 декабря 2013 г.;Москва, Россия;Москва;Россия;getcourse.ru;https://getcourse.ru/;101–200 человек;03.08.2020;Сергей Михайлов;https://habr.com/ru/users/jikk/
https://habr.com/ru/company/krista/;НПО Криста;Мы ж программисты, кодим для страны, греем сервера;Java, Машинное обучение, Учебный процесс в IT, Управление персоналом, Карьера в IT-индустрии;29.59;10;;;39;11;1992 год;Москва, Россия;Москва;Россия;krista.ru;https://www.krista.ru/;1 001–5 000 человек;01.10.2019;;
https://habr.com/ru/company/smartengines/;Smart Engines;Обработка изображений, распознавание в видеопотоке;Алгоритмы, Обработка изображений, Машинное обучение, Искусственный интеллект, Будущее здесь;29.52;68;;;217;1;1 января 2010 г.;Москва, Россия;Москва;Россия;smartengines.ru;https://smartengines.ru/;51–100 человек;10.03.2015;;
https://habr.com/ru/company/otr/;ОТР;Компания;Локализация продуктов, Управление разработкой, Agile, Управление продуктом, Мозг;29.44;2;;;18;3;20 августа 2000 г.;Москва, Россия;Москва;Россия;otr.ru;https://otr.ru;1 001–5 000 человек;01.10.2020;;
https://habr.com/ru/company/indriver/;inDriver;Ride-hailing app based on peer-to-peer model;Разработка мобильных приложений, Разработка под Android, Maps API, Управление персоналом, Удалённая работа;29.26;3;;;38;21;24 июня 2013 г.;Mountain View, США;Mountain View;США;indriver.com;https://indriver.com;501–1 000 человек;13.04.2020;Владислав Тетерин;https://habr.com/ru/users/LookForward/
https://habr.com/ru/company/dsol/;НПП «Цифровые решения»;Компания;Информационная безопасность, IT-инфраструктура, Сетевые технологии, Хранение данных, Сетевое оборудование;29.22;3;;;18;3;31 октября 2003 г.;Москва, Россия;Москва;Россия;dsol.ru;https://dsol.ru/;101–200 человек;26.02.2020;;
https://habr.com/ru/company/iobroker/;ioBroker;Компания;Беспроводные технологии, Программирование микроконтроллеров, Умный дом, DIY или Сделай сам;29.07;6;;;68;4;20 декабря 2014 г.;Karlsruhe, Германия;Karlsruhe;Германия;iobroker.net;http://iobroker.net;1 человек (только я);22.11.2018;;
https://habr.com/ru/company/cbs/;CBS;Компания;;29;50;;;321;7;1997 год;Москва, Россия;Москва;Россия;cbs.ru;http://cbs.ru/;51–100 человек;15.09.2015;;
https://habr.com/ru/company/posttech/;Почтатех;Компания;IT-инфраструктура, API, Законодательство в IT, Офисы IT-компаний, IT-компании;28.87;11;;;104;6;;Москва, Россия;Москва;Россия;hr.pochta.tech;https://hr.pochta.tech;свыше 10 000 человек;02.03.2020;;
https://habr.com/ru/company/ligastavok/;Лига Ставок;Компания;Dart, Go, Flutter;28.7;2;;;8;3;2008 год;Москва, Россия;Москва;Россия;ligastavok.ru;https://www.ligastavok.ru/;1 001–5 000 человек;28.10.2020;helloageeva;https://habr.com/ru/users/helloageeva/
https://habr.com/ru/company/bcs_company/;BCS FinTech;Компания;Разработка под iOS, Service Desk, Управление разработкой, Управление проектами, Развитие стартапа;27.68;9;;;41;10;20 июня 1995 г.;Россия;;Россия;bcs.career;http://bcs.career;5 001–10 000 человек;25.07.2019;Давыдова Любовь;https://habr.com/ru/users/ekzone_boss/
https://habr.com/ru/company/moysklad/;МойСклад;Разрабатываем облачный сервис управления торговлей;;27.16;12;;;94;6;12 апреля 2007 г.;Москва, Россия;Москва;Россия;moysklad.ru;http://www.moysklad.ru/;101–200 человек;24.03.2011;;
https://habr.com/ru/company/fgts/;Фактор груп;Компания;Информационная безопасность, Системное администрирование, IT-инфраструктура, Сетевые технологии, Конференции;27.08;15;2;;29;6;29 июня 2009 г.;Москва, Россия;Москва;Россия;fgts.ru;http://www.fgts.ru/;31–50 человек;21.07.2015;;
https://habr.com/ru/company/newprolab/;New Professions Lab;Обучение в области работы с данными с 2015 г.;Data Mining, Big Data, Карьера в IT-индустрии, DevOps, Data Engineering;26.92;83;;;323;3;28 февраля 2015 г.;Москва, Россия;Москва;Россия;newprolab.com;http://newprolab.com;Неизвестно;13.10.2014;Артем Пичугин;https://habr.com/ru/users/a-pichugin/
https://habr.com/ru/company/inforion/;ИНФОРИОН;Решения ИТ-инфраструктуры и защита информации;Информационная безопасность, Реверс-инжиниринг;26.28;17;;;57;5;17 февраля 2006 г.;Москва, Россия;Москва;Россия;inforion.ru;https://inforion.ru/;51–100 человек;12.05.2017;;
https://habr.com/ru/company/flprog/;FLProg;Визуальная среда Arduino и ESP8266;;25.81;39;;;218;5;10 июля 2013 г.;Астрахань, Россия;Астрахань;Россия;flprog.ru;http://flprog.ru;1 человек (только я);31.10.2014;;
https://habr.com/ru/company/synergy/;Synergy Team;Разработка электроники и систем управления;Amazon Web Services, SCADA, Умный дом, Интернет вещей;25.77;2;;;6;2;23 января 2013 г.;Москва, Россия;Москва;Россия;synergy.msk.ru;http://synergy.msk.ru/;11–30 человек;03.09.2020;Леонид Карпенко;https://habr.com/ru/users/lkarpenko/
https://habr.com/ru/company/kksng/;Корус Консалтинг СНГ;Делимся знаниями;Веб-дизайн, Интерфейсы, HTML, Управление разработкой, Дизайн;25.52;3;;;23;5;3 ноября 2005 г.;Санкт-Петербург, Россия;Санкт-Петербург;Россия;esphere.ru;https://www.esphere.ru/;501–1 000 человек;29.01.2020;Александр Гончаров;https://habr.com/ru/users/SmartFingers/
https://habr.com/ru/company/owasp/;OWASP;Open Web Application Security Project;Информационная безопасность, Тестирование веб-сервисов, Блог компании Акрибия;25.25;29;;;70;4;21 апреля 2004 г.;Москва, Россия;Москва;Россия;owasp.org;https://owasp.org;1 001–5 000 человек;26.11.2019;Лука Сафонов;https://habr.com/ru/users/LukaSafonov/
https://habr.com/ru/company/bashnipineft/;РН-БашНИПИнефть;Компания;Алгоритмы, Математика, Карьера в IT-индустрии, Научно-популярное, Физика;25.23;8;;;93;4;1 ноября 1947 г.;Уфа, Россия;Уфа;Россия;rosneft.ru;http://www.rosneft.ru/;1 001–5 000 человек;19.03.2020;;
https://habr.com/ru/company/aerodisk/;AERODISK;AERODISK — российский производитель СХД.;Системное администрирование, IT-инфраструктура, Серверное администрирование, Хранение данных, Хранилища данных;25.17;10;;;64;5;18 марта 2011 г.;Москва, Россия;Москва;Россия;aerodisk.ru;https://aerodisk.ru/;31–50 человек;04.04.2019;Вячеслав Володкович;https://habr.com/ru/users/Viacheslav_V/
https://habr.com/ru/company/vseinstrumenti/;ВсеИнструменты.ру;E-commerce, продажи строительного инструмента;Управление разработкой, Управление проектами, Управление продуктом, Управление персоналом, Карьера в IT-индустрии;25.03;4;;6;32;7;14 марта 2006 г.;Москва, Россия;Москва;Россия;vseinstrumenti.ru;https://www.vseinstrumenti.ru/;1 001–5 000 человек;26.03.2020;;
https://habr.com/ru/company/inline_tech/;INLINE Technologies;Универсальный ИТ-интегратор;;24.67;11;;;76;7;22 сентября 1999 г.;Москва, Россия;Москва;Россия;in-line.ru;http://in-line.ru;201–500 человек;25.06.2014;;
https://habr.com/ru/company/phoenix_contact/;Phoenix Contact;Компания;Информационная безопасность, Системное администрирование, IT-инфраструктура, Сетевые технологии, Сетевое оборудование;24.58;12;;;36;1;1923 год;Германия;;Германия;phoenixcontactpro.ru;http://www.phoenixcontactpro.ru;5 001–10 000 человек;21.02.2019;;
https://habr.com/ru/company/zerotech/;ZeroTech;Разрабатываем сложные web-проекты.;Safari, Nginx, Apache, Lua, Kubernetes;23.67;8;;;33;9;1 марта 2015 г.;Москва, Россия;Москва;Россия;zerotech.ru;http://zerotech.ru/;11–30 человек;19.09.2016;;
